English Word	Valence	Arousal	Dominance	Khmer Word
aaaaaaah	0.479	0.606	0.291	ហាហាហា
aaaah	0.520	0.636	0.282	អាហា
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	ភ្ញាក់ផ្អើល
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	បោះបង់ចោល
abandoned	0.046	0.481	0.130	បោះបង់ចោល
abandonment	0.128	0.430	0.202	ការបោះបង់ចោល
abashed	0.177	0.644	0.307	បាក់ទឹកចិត្ត
abate	0.255	0.696	0.604	ធូរស្រាល
abatement	0.388	0.338	0.336	ការធូរស្រាល
abba	0.562	0.500	0.480	អាបា
abbey	0.580	0.367	0.444	អាបបេ
abbot	0.427	0.321	0.483	អាចារ្យ
abbreviate	0.531	0.375	0.330	អក្សរកាត់
abbreviation	0.469	0.306	0.345	អក្សរកាត់
abdomen	0.469	0.462	0.471	ពោះ
abdominal	0.490	0.456	0.445	ពោះ
abduct	0.173	0.720	0.615	ការចាប់ពង្រត់
abduction	0.062	0.990	0.673	ការចាប់ពង្រត់
aberrant	0.146	0.765	0.431	ខុស
aberration	0.125	0.816	0.417	ភាពខុសប្រក្រតី
abeyance	0.330	0.510	0.292	ការលះបង់
abhor	0.125	0.602	0.349	ស្អប់
abhorrence	0.167	0.684	0.420	ការស្អប់ខ្ពើម
abhorrent	0.229	0.750	0.474	ស្អប់ខ្ពើម
abide	0.635	0.354	0.705	ស្នាក់នៅ
abiding	0.796	0.327	0.750	ប្រកាន់ខ្ជាប់
ability	0.875	0.510	0.816	សមត្ថភាព
abject	0.354	0.590	0.417	អន់ចិត្ត
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	ឆេះ
able	0.786	0.500	0.810	អាច
abnormal	0.137	0.604	0.309	មិនធម្មតា
abnormality	0.092	0.655	0.383	ភាពមិនធម្មតា
aboard	0.698	0.284	0.481	នៅលើយន្តហោះ
abode	0.620	0.302	0.500	លំនៅដ្ឋាន
abolish	0.448	0.615	0.529	លុបចោល
abolition	0.323	0.690	0.529	ការលុបបំបាត់
abominable	0.120	0.731	0.482	គួរ​ឲ្យ​ស្អប់​ខ្ពើម
abominate	0.198	0.788	0.366	ស្អប់ខ្ពើម
abomination	0.078	0.755	0.518	ការស្អប់ខ្ពើម
aboriginal	0.448	0.427	0.542	ជនជាតិដើម
abort	0.153	0.686	0.429	រំលូតកូន
abortion	0.082	0.770	0.283	ការរំលូតកូន
abortive	0.090	0.776	0.280	រំលូតកូន
abound	0.704	0.490	0.681	សម្បូរ
abovementioned	0.541	0.298	0.509	ដែលបានរៀបរាប់ខាងលើ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	សំណឹក
abrasive	0.392	0.610	0.593	សំណឹក
abreast	0.635	0.380	0.519	ទាន់ហន់
abroad	0.677	0.596	0.561	នៅបរទេស
abrogate	0.327	0.510	0.594	លុបចោល
abrupt	0.271	0.819	0.545	ភ្លាមៗ
abruptly	0.250	0.808	0.556	ភ្លាមៗ
abscess	0.154	0.451	0.349	អាប់ស
absence	0.153	0.235	0.266	អវត្តមាន
absent	0.177	0.221	0.116	អវត្តមាន
absentee	0.235	0.330	0.279	អវត្តមាន
absenteeism	0.404	0.273	0.357	អវត្តមាន
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ដាច់ខាត
