English Word	Valence	Arousal	Dominance	Sinhala Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	කම්මැලියි
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	අබලි
abandon	0.052	0.519	0.245	අත්හරින්න
abandoned	0.046	0.481	0.130	අතහැර දමා ඇත
abandonment	0.128	0.430	0.202	අත්හැරීම
abashed	0.177	0.644	0.307	අපකීර්තියට පත් විය
abate	0.255	0.696	0.604	අඩු කරන්න
abatement	0.388	0.338	0.336	අඩු කිරීම
abba	0.562	0.500	0.480	අබ්බා
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	ඇබට්
abbreviate	0.531	0.375	0.330	සංක්ෂිප්ත කරන්න
abbreviation	0.469	0.306	0.345	කෙටි යෙදුම
abdomen	0.469	0.462	0.471	උදරය
abdominal	0.490	0.456	0.445	උදරය
abduct	0.173	0.720	0.615	පැහැර ගන්නවා
abduction	0.062	0.990	0.673	පැහැර ගැනීම
aberrant	0.146	0.765	0.431	අපගමනය
aberration	0.125	0.816	0.417	අපගමනය
abeyance	0.330	0.510	0.292	අත්හැරීම
abhor	0.125	0.602	0.349	පිළිකුල් කරනවා
abhorrence	0.167	0.684	0.420	පිළිකුල
abhorrent	0.229	0.750	0.474	පිළිකුල් සහගතය
abide	0.635	0.354	0.705	රැඳී සිටින්න
abiding	0.796	0.327	0.750	රැඳී සිටීම
ability	0.875	0.510	0.816	හැකියාව
abject	0.354	0.590	0.417	පහත්
ablation	0.418	0.500	0.500	ඉවත් කිරීම
ablaze	0.240	0.847	0.525	ඇවිලෙනවා
able	0.786	0.500	0.810	පුළුවන්
abnormal	0.137	0.604	0.309	අසාමාන්ය
abnormality	0.092	0.655	0.383	අසාමාන්යතාව
aboard	0.698	0.284	0.481	නැවට
abode	0.620	0.302	0.500	පදිංචිය
abolish	0.448	0.615	0.529	ඉවත් කරනවා
abolition	0.323	0.690	0.529	අහෝසි කිරීම
abominable	0.120	0.731	0.482	පිළිකුල් සහගතය
abominate	0.198	0.788	0.366	පිළිකුල් කරනවා
abomination	0.078	0.755	0.518	පිළිකුල් සහගතය
aboriginal	0.448	0.427	0.542	ආදිවාසී
abort	0.153	0.686	0.429	ගබ්සා කරන්න
abortion	0.082	0.770	0.283	ගබ්සාව
abortive	0.090	0.776	0.280	ගබ්සා
abound	0.704	0.490	0.681	බහුලයි
abovementioned	0.541	0.298	0.509	ඉහත සඳහන් කර ඇත
abracadabra	0.673	0.632	0.434	abracadabra
